period,miso_daily_mwh,miso_daily_peak_mwh
2019-01-01,66921.625,74304.0
2019-01-02,73749.04166666667,81731.0
2019-01-03,76128.5,84464.0
2019-01-04,75005.375,81557.0
2019-01-05,69994.79166666667,78404.0
2019-01-06,66746.375,71218.0
2019-01-07,69722.08333333333,75774.0
2019-01-08,69857.08333333333,76600.0
2019-01-09,75209.70833333333,82299.0
2019-01-10,80193.79166666667,88322.0
2019-01-11,79154.95833333333,85868.0
2019-01-12,73015.08333333333,81026.0
2019-01-13,71230.625,76489.0
2019-01-14,78322.125,85367.0
2019-01-15,80015.5,86851.0
2019-01-16,78469.83333333333,86093.0
2019-01-17,76596.70833333333,83158.0
2019-01-18,75731.54166666667,81135.0
2019-01-19,73435.08333333333,80446.0
2019-01-20,79589.33333333333,84223.0
2019-01-21,84713.25,91894.0
2019-01-22,82039.54166666667,90610.0
2019-01-23,76827.20833333333,83334.0
2019-01-24,83257.83333333333,91475.0
2019-01-25,85722.41666666667,94707.0
2019-01-26,80109.125,87330.0
2019-01-27,75051.33333333333,80165.0
2019-01-28,79466.33333333333,86024.0
2019-01-29,85303.45833333333,93042.0
2019-01-30,91616.29166666667,97484.0
2019-01-31,90915.25,97310.0
2019-02-01,82475.125,92430.0
2019-02-02,73150.95833333333,81750.0
2019-02-03,65793.125,72263.0
2019-02-04,68447.04166666667,74712.0
2019-02-05,73946.375,79168.0
2019-02-06,74500.70833333333,82051.0
2019-02-07,74832.58333333333,81021.0
2019-02-08,82705.08333333333,90136.0
2019-02-09,81829.58333333333,89953.0
2019-02-10,74838.125,81640.0
2019-02-11,75039.54166666667,80293.0
2019-02-12,75109.125,82212.0
2019-02-13,78626.95833333333,86975.0
2019-02-14,75290.66666666667,81597.0
2019-02-15,75831.25,81482.0
2019-02-16,74592.58333333333,82800.0
2019-02-17,71388.16666666667,77698.0
2019-02-18,76539.66666666667,83629.0
2019-02-19,80321.41666666667,86679.0
2019-02-20,77363.25,85359.0
2019-02-21,75468.5,81018.0
2019-02-22,75334.33333333333,81304.0
2019-02-23,69614.41666666667,77981.0
2019-02-24,67052.875,72211.0
2019-02-25,76935.83333333333,85630.0
2019-02-26,77968.25,83966.0
2019-02-27,75275.83333333333,80875.0
2019-02-28,77168.625,81517.0
2019-03-01,76359.20833333333,82763.0
2019-03-02,71182.75,77465.0
2019-03-03,71427.625,75740.0
2019-03-04,83635.625,91957.0
2019-03-05,87002.79166666667,93824.0
2019-03-06,83916.79166666667,91961.0
2019-03-07,79524.25,85251.0
2019-03-08,75223.95833333333,82401.0
2019-03-09,69164.41666666667,75583.0
2019-03-10,66326.16666666667,71983.0
2019-03-11,71548.29166666667,78150.0
2019-03-12,71882.875,78017.0
2019-03-13,70047.08333333333,75277.0
2019-03-14,69130.04166666667,74048.0
2019-03-15,70081.25,75917.0
2019-03-16,67526.125,73127.0
2019-03-17,64979.583333333336,68913.0
2019-03-18,69944.25,79805.0
2019-03-19,70603.375,79384.0
2019-03-20,69962.75,77077.0
2019-03-21,69560.54166666667,76341.0
